Index,Date and Time,Total Travel Time
1,1619162000,23.833333
2,1619162000,30.75
3,1619162000,24.933333
4,1619162000,21.666667
5,1619163000,25.8
6,1619163000,36.15
7,1619163000,26.35
8,1619164000,39.133333
9,1619164000,41.933333
10,1619164000,26.333333
11,1619165000,31.283333
12,1619165000,27.333333
13,1619165000,35.416667
14,1619165000,24.516667
15,1619166000,30.716667
16,1619166000,32.316667
17,1619166000,34.366667
18,1619167000,21.433333
19,1619167000,27.05
20,1619167000,21.933333
21,1619168000,34.516667
22,1619168000,23.733333
23,1619168000,29.2
24,1619168000,31.983333
25,1619169000,27.883333
26,1619169000,23.383333
27,1619174000,24.066667
28,1619174000,31.133333
29,1619175000,32.666667
30,1619175000,34.616667
31,1619175000,26.8
32,1619176000,22.75
33,1619176000,30.45
34,1619176000,23.133333
35,1619177000,33.516667
36,1619177000,26.6
37,1619177000,23.816667
38,1619177000,32.766667
39,1619178000,29.066667
40,1619179000,26.866667
41,1619179000,30.783333
42,1619180000,21.533333
43,1619180000,23.816667
44,1619180000,35.35
45,1619181000,25.883333
46,1619181000,27.566667
47,1619181000,30.65
48,1619181000,25.266667
49,1619182000,29.633333
50,1619182000,24.516667
51,1619182000,27.533333
52,1619183000,35.2
53,1619183000,27.983333
54,1619183000,36.2
55,1619184000,25.466667
56,1619184000,35.666667
57,1619220000,30.266667
58,1619220000,33.633333
59,1619220000,30.983333
60,1619221000,23.233333
61,1619221000,27.383333
62,1619221000,25.966667
63,1619222000,39.516667
64,1619222000,31.8
65,1619222000,22.3
66,1619222000,26.7
67,1619223000,32.166667
68,1619223000,22.983333
69,1619223000,22.533333
70,1619224000,26.033333
71,1619224000,31.033333
72,1619224000,33.883333
73,1619225000,19.733333
74,1619225000,24.433333
75,1619225000,34.683333
76,1619225000,23.133333
77,1619226000,24.416667
78,1619226000,25.35
79,1619226000,38.85
80,1619227000,23.3
81,1619227000,35.316667
82,1619227000,25.633333
83,1619228000,26.45
84,1619228000,26.55
85,1619228000,24.45
86,1619228000,31.2
87,1619241000,26.8
88,1619242000,28.133333
89,1619242000,24.116667
90,1619242000,24.9
91,1619243000,23.766667
92,1619243000,31.616667
93,1619243000,27.166667
94,1619243000,26.7
95,1619244000,30.566667
96,1619244000,27.566667
97,1619244000,22.866667
98,1619245000,33.766667
99,1619245000,38.333333
100,1619245000,25.766667
101,1619246000,20.283333
102,1619246000,26.866667
103,1619246000,26.9
104,1619246000,28.65
105,1619247000,33.533333
106,1619247000,23
107,1619247000,42.316667
108,1619248000,23.683333
109,1619248000,37.75
110,1619248000,24.4
111,1619249000,33.133333
112,1619249000,39.683333
113,1619250000,21.516667
114,1619251000,26.766667
115,1619251000,24.366667
116,1619251000,25.433333
117,1619252000,22.566667
118,1619252000,40.866667
119,1619252000,23.7
120,1619253000,31.566667
121,1619253000,25.833333
122,1619253000,33.2
123,1619254000,27.216667
124,1619254000,35.216667
125,1619103000,21.316667
126,1619104000,21.216667
127,1619104000,36.383333
128,1619104000,27.466667
129,1619104000,21.316667
130,1619105000,26.5
131,1619105000,20.683333
132,1619105000,25.533333
133,1619106000,20.7
134,1619106000,20.55
135,1619106000,20.683333
136,1619107000,33.483333
137,1619107000,29.95
138,1619107000,20.8
139,1619143000,32.533333
140,1619144000,27.116667
141,1619144000,33.333333
142,1619144000,32.883333
143,1619145000,25.4
144,1619145000,31.55
145,1619145000,24.6
146,1619145000,29.65
147,1619147000,26.5
148,1619147000,21.783333
149,1619147000,41.383333
150,1619148000,32.616667
151,1619148000,24.15
152,1619148000,24.583333
153,1619148000,25.95
154,1619149000,31.233333
155,1619149000,39.3
156,1619149000,29.083333
157,1619150000,24.116667
158,1619150000,27.533333
159,1619150000,27.733333
160,1619151000,29
161,1619151000,24.7
162,1619151000,34.8
163,1619151000,24.35
164,1619152000,30.7
165,1619152000,26.633333
166,1619152000,26.216667
167,1619153000,27.183333
168,1619153000,31.4
169,1619154000,22.216667
170,1619154000,21.8
171,1619154000,31.883333
172,1619154000,21.516667
173,1619155000,28.533333
174,1619155000,29.016667
175,1619155000,27.85
176,1619157000,26.383333
177,1619158000,29.683333
178,1619158000,36.733333
179,1619158000,28.45
180,1619158000,31.233333
181,1619159000,23.066667
182,1619159000,20.633333
183,1619159000,39.683333
184,1619160000,22.683333
185,1619160000,20.183333
186,1619160000,24.733333
187,1619161000,23.833333
188,1619161000,38
189,1619161000,25.533333
190,1619161000,24.416667
191,1619162000,30.1
192,1619162000,25.2
193,1619162000,27.85
194,1619163000,31.033333
195,1619163000,31.05
196,1619163000,24.833333
197,1619164000,35.233333
198,1619165000,28.266667
199,1619166000,34.05
200,1619166000,31.116667
201,1619167000,24.55
202,1619167000,25.666667
203,1619167000,21.2
204,1619173000,27.616667
205,1619173000,25.95
206,1619174000,29.883333
207,1619174000,35.95
208,1619174000,34.266667
209,1619175000,27.316667
210,1619175000,26.366667
211,1619175000,30.466667
212,1619176000,23.5
213,1619176000,28.816667
214,1619176000,24.783333
215,1619176000,31.716667
216,1619177000,24.816667
217,1619177000,36.166667
218,1619177000,32.116667
219,1619178000,27.25
220,1619178000,28.483333
221,1619178000,33.716667
222,1619179000,25.566667
223,1619179000,25
224,1619179000,21.65
225,1619179000,20.3
226,1619180000,27.733333
227,1619180000,27.183333
228,1619180000,35
229,1619185000,20.2
230,1619186000,38.3
231,1619186000,31.266667
232,1619186000,28.366667
233,1619187000,29.35
234,1619187000,24.766667
235,1619187000,20.183333
236,1619187000,20.483333
237,1619188000,20.85
238,1619188000,28.933333
239,1619188000,20.15
240,1619189000,29.583333
241,1619189000,26.25
242,1619189000,34.4
243,1619190000,26.366667
244,1619190000,28.833333
245,1619190000,29.066667
246,1619190000,24.083333
247,1619191000,19.45
248,1619191000,31.166667
249,1619191000,22.033333
250,1619192000,25.2
251,1619192000,33.033333
252,1619192000,19.433333
253,1619193000,31.266667
254,1619193000,28.283333
255,1619193000,29.616667
256,1619193000,24.133333
257,1619194000,19.55
