Index,Date and Time ,Total Travel Time
1,1619103000,29.383333
2,1619103000,36.116667
3,1619103000,46.816667
4,1619104000,25.95
5,1619104000,31.266667
6,1619143000,32.85
7,1619143000,39.366667
8,1619144000,34.083333
9,1619144000,43.333333
10,1619144000,44.133333
11,1619145000,42.6
12,1619145000,31.45
13,1619145000,44.15
14,1619146000,29
15,1619147000,34.1
16,1619147000,38.866667
17,1619147000,23.533333
18,1619148000,23.783333
19,1619148000,46.65
20,1619148000,31.7
21,1619149000,51.133333
22,1619149000,24.016667
23,1619149000,46.3
24,1619150000,49.666667
25,1619150000,38.666667
26,1619153000,42.183333
27,1619154000,51.483333
28,1619154000,33.133333
29,1619155000,48.8
30,1619157000,26.566667
31,1619157000,36.366667
32,1619158000,71.716667
33,1619158000,30.033333
34,1619158000,27.533333
35,1619160000,28.75
36,1619160000,54.266667
37,1619161000,55.983333
38,1619161000,26.833333
39,1619161000,24.883333
40,1619162000,45.6
41,1619162000,36.05
42,1619162000,54.2
43,1619163000,38.966667
44,1619163000,41.083333
45,1619163000,54.533333
46,1619163000,48.9
47,1619173000,18.133333
48,1619174000,24.25
49,1619174000,25.983333
50,1619174000,30.133333
51,1619174000,26.05
52,1619175000,37.65
53,1619175000,34.366667
54,1619175000,30.5
55,1619176000,32.383333
56,1619176000,39.033333
57,1619176000,19.966667
58,1619177000,36.833333
59,1619177000,28.466667
60,1619177000,38.616667
61,1619177000,28.283333
62,1619178000,29.916667
63,1619178000,29.45
64,1619178000,34.783333
65,1619179000,36.983333
66,1619179000,34.85
67,1619179000,41.9
68,1619180000,35.9
69,1619180000,71.45
70,1619180000,53.666667
71,1619180000,34.6
72,1619181000,49.733333
73,1619181000,33.616667
74,1619181000,37.016667
75,1619184000,46.183333
76,1619184000,38.316667
77,1619190000,31.033333
78,1619190000,51.266667
79,1619162000,32.866667
80,1619162000,31.666667
81,1619162000,55.15
82,1619162000,58.85
83,1619163000,33.883333
84,1619163000,38.666667
85,1619163000,42.516667
86,1619164000,52.816667
87,1619164000,37.783333
88,1619164000,41.833333
89,1619165000,42.533333
90,1619165000,35.966667
91,1619165000,36.033333
92,1619165000,29.55
93,1619166000,25.866667
94,1619166000,38.2
95,1619166000,29.366667
96,1619167000,39.566667
97,1619167000,53.733333
98,1619167000,33.85
99,1619168000,33.283333
100,1619168000,28.95
101,1619168000,25.716667
102,1619168000,29.766667
103,1619169000,51.866667
104,1619169000,43.533333
105,1619169000,43.016667
106,1619170000,24.9
107,1619174000,25.683333
108,1619174000,27.8
109,1619175000,25.016667
110,1619175000,34.883333
111,1619175000,30.2
112,1619176000,32.933333
113,1619176000,27.966667
114,1619176000,20.25
115,1619177000,37.333333
116,1619177000,31.616667
117,1619177000,32.816667
118,1619177000,28.516667
119,1619179000,38.15
120,1619179000,58.516667
121,1619179000,39.6
122,1619180000,33.2
123,1619180000,57.816667
124,1619180000,38.466667
125,1619181000,31.05
126,1619181000,43.166667
127,1619190000,28.966667
128,1619190000,45.3
129,1619190000,25.416667
130,1619191000,35.366667
131,1619191000,35.083333
132,1619191000,30.766667
133,1619191000,37.016667
134,1619192000,36.466667
135,1619219000,61.833333
136,1619220000,38
137,1619220000,38.6
138,1619220000,53.116667
139,1619221000,51.416667
140,1619221000,17.333333
141,1619221000,36.566667
142,1619221000,35.133333
143,1619222000,35.116667
144,1619222000,75.966667
145,1619222000,27.55
146,1619223000,47.433333
147,1619223000,40.966667
148,1619223000,62.35
149,1619224000,38.366667
150,1619224000,29.783333
151,1619224000,51.65
152,1619224000,57.033333
153,1619225000,30.316667
154,1619225000,29.183333
155,1619225000,28.183333
156,1619226000,21.7
157,1619226000,26.483333
158,1619226000,30.766667
159,1619227000,36.116667
160,1619227000,23.383333
161,1619227000,33.683333
162,1619227000,39.95
163,1619228000,43.583333
164,1619233000,46.866667
165,1619233000,63.5
166,1619234000,26.616667
167,1619234000,21.05
168,1619234000,26.166667
169,1619235000,32.366667
170,1619235000,41.283333
171,1619235000,48.216667
172,1619236000,25.766667
173,1619236000,30.516667
174,1619236000,27.366667
175,1619236000,37.033333
176,1619237000,30.433333
177,1619237000,46.15
178,1619237000,48.016667
179,1619238000,43.466667
180,1619238000,42.116667
181,1619238000,23.216667
182,1619239000,38.25
183,1619239000,16.716667
184,1619239000,48.75
185,1619240000,41.65
186,1619240000,37.233333
187,1619240000,39.1
188,1619240000,49.133333
189,1619241000,25.883333
190,1619241000,50.5
191,1619241000,38.266667
192,1619242000,28.416667
193,1619243000,22.166667
194,1619243000,29.783333
195,1619243000,40.683333
196,1619243000,29.366667
197,1619244000,34.966667
198,1619244000,43.066667
199,1619244000,31.65
200,1619245000,23.033333
201,1619245000,46.116667
202,1619245000,28.116667
203,1619246000,44.466667
204,1619246000,41.366667
205,1619246000,58.783333
206,1619246000,32.333333
207,1619247000,27.166667
208,1619247000,39.166667
209,1619247000,29
210,1619248000,32.533333
211,1619248000,36.2
212,1619248000,48
213,1619249000,30
214,1619249000,51.666667
215,1619251000,74.5
216,1619252000,39.5
217,1619252000,40.066667
218,1619252000,25.266667
219,1619252000,23.416667
220,1619253000,40.733333
221,1619253000,26.683333
222,1619253000,37.183333
