Bus Stop Code,Path
27219,ltaodataservice/BusArrivalv2?BusStopCode=27219'
27069,ltaodataservice/BusArrivalv2?BusStopCode=27069'
27209,ltaodataservice/BusArrivalv2?BusStopCode=27209'
27199,ltaodataservice/BusArrivalv2?BusStopCode=27199'
27189,ltaodataservice/BusArrivalv2?BusStopCode=27189'
27179,ltaodataservice/BusArrivalv2?BusStopCode=27179'
27169,ltaodataservice/BusArrivalv2?BusStopCode=27169'
27129,ltaodataservice/BusArrivalv2?BusStopCode=27129'
27109,ltaodataservice/BusArrivalv2?BusStopCode=27109'
27099,ltaodataservice/BusArrivalv2?BusStopCode=27099'
21379,ltaodataservice/BusArrivalv2?BusStopCode=21379'
22481,ltaodataservice/BusArrivalv2?BusStopCode=22481'
22009,ltaodataservice/BusArrivalv2?BusStopCode=22009'
